;	coding: utf-8
4030	пожалуйста, сделайте выбор
4031	одиночная игра,
4032	игра на вашем компьютере
4033	многопользовательская игра,
4034	игра через Интернет
4035	сервер,
4036	запуск сервера на вашем компьютере для создания многопользовательских игр
4037	настройки,
4038	изменение параметров игры
4041	выход,
4042	закрытие игры
4043	какой тип сервера хотите создать?
4044	простой сервер
4045	только вы можете создавать игры
4046	публичный сервер
4047	гости могут создавать игры
4048	отмена
4049	Ваш сервер вероятно не смог зарегистрировать себя в metaserver. Пожалуйста, проверьте ваше подключение к Интернету.
4051	до свидания
4052	Нажимайте Tab для выбора. Нажмите Enter для подтверждения.
4053	принять приглашение
4054	присоедениться к игре
4055	начать игру на карте
4056	добро пожаловать
4057	ошибка : здесь слишком много игр
4058	пригласить
4059	начать
4060	отменить эту игру
4061	покинуть эту игру
4062	игра начнётся через 5 секунд
4063	игра начнётся после подтверждения организатора
4064	нажмите enter для подтверждения
4066	циклически нажимайте tab для перехода между видимыми объектами
4067	нажимайте tab для выбора цели и затем нажмите enter для подтверждения
4070	отменить игру
4071	продолжить игру
4072	Не удаётся связаться с metaserver. Пожалуйста, проверьте ваше подключение к Интернету.
4073	сервер размещён на
4074	для
4075	отмена
4076	вернуться в предыдущее меню
4077	В данный момент нет ни одного сервера зарегистрированного в metaserver. Пожалуйста, повторите попытку позже.
4078	серверов из
4079	используют совместимую версию игры. Пожалуйста, выберите сервер.
4080	ошибка: сервер не смог запуститься
4081	ошибка: сервер недоступен. Сервер закрыт фаерволом или находится за маршрутизатором.
4082	ошибка: неожиданный ответ сервера. Это не сервер SoundRTS
4083	ошибка: подключение отклонено сервером. Это не сервер SoundRTS
4084	или ваш логин был отклонён
4085	ошибка при подключении к серверу
4086	меню настроек
4087	Изменить ваш логин
4096	сохранить,
4097	сохранить изменения и вернуться в главное меню
4098	отмена,
4099	вернуться в главное меню без сохранения изменений
4101	откроется новое окно
4102	соединение было прервано
4103	медленная игра
4104	нормальная игра
4105	быстрая игра
4112	сохранить игру
4113	загрузить сохранённую игру
4114	играть против компьютера на карте
4115	компьютер против компьютера
4118	возврат в предыдущее меню
4119	выбрать сервер из списка публичных серверов
4120	ввести ip адрес сервера
4121	приватный сервер
4122	Сервер не будет добавлен в список публичных серверов.
4200	производство древесины улучшено
4201	катапульта
4202	ждёт приказа
4203	из
4204	не могу там построить
4205	вы не управляете ни одним юнитом
4206	дисплей сейчас включён
4207	дисплей сейчас выключен
4208	неизвестно
4209	затемнено
4210	F10 для доступа в меню
4211	режим от первого лица
4212	режим карты
4213	кузница
4214	модернизация
4215	меча
4216	стрел
4217	доспехов солдат
4218	брони лучника
4219	до
4220	город
4221	замок
4222	конюшня
4223	меню
4224	было изменено
4225	рыцарь
4226	мастерская
4227	логово дракона
4228	башня магов
4229	маг
4230	флаер
4231	дракон
4232	ошибка сервера
4233	дальности лука
4234	в интернете доступна новая версия игры
4235	введите ваш новый логин
4236	используя только английские буквы и цифры
4237	недействительный логин
4238	новый логин сохранён
4239	ваш новый логин
4240	вошёл на сервер
4241	вошёл в игру
4242	игроков из
4243	приглашает Вас
4244	Недостаточно игроков для начала игры. Требуется минимум
4245	текущий логин
4246	достигнут максимальный уровень населения
4247	магии из
4248	исследование
4249	супер лечение
4250	телепортация
4251	в
4252	недостаточно магии
4253	процент громкости
4254	скорости лошади
4255	определить место сбора для новых юнитов
4256	добыто
4257	агрессивный компьютер
4258	пассивный компьютер
4259	покинул сервер
4260	на сервер
4261	покинул игру
4262	необязательные звуки
4263	включён
4264	выключен
4265	cheat режим
4266	перезапустить
4267	компания
4268	новая цель
4269	задача выполнена
4270	Миссия завершена
4271	глава
4272	пролог
4273	эпилог
4274	конверсия
4275	развед башня
4276	караульная башня
4277	оружейная башня
4278	загрузить
4279	загрузить всех из
4280	разгрузить
4281	разгрузить всех в
4282	войдите в
4283	тёмный лучник
5000	a
5001	b
5002	c
5003	d
5004	e
5005	f
5006	g
5007	h
5008	i
5009	j
5010	k
5011	l
5012	m
5013	n
5014	o
5015	p
5016	q
5017	r
5018	s
5019	t
5020	u
5021	v
5022	w
5023	x
5024	y
5025	z
5026	точка
4284	переместить
4285	в альянс
4286	друг
4287	говорит
4288	введите ваше сообщение
4289	невидимый
4290	детектор
4291	покровитель
4292	вызвать
4293	поднять мертвецов
4294	воскрешение
4295	зомби
4296	скелет
4297	жрец
4298	храм
4299	проникающий взгляд
4300	заклинание
4301	человек
4302	орк
4303	некромант
4304	некрополь
4305	смертельный туман
4306	метеоры
4307	возвращение
4308	камней
4309	каменоломня
4311	потерпел поражение
4312	Вы потерпели поражение.
4313	Вы находитесь в режиме наблюдателя.
4314	плато
4315	просмотр записанных игр
4316	Нажимайте Control Shift F4 для наблюдения за другим игроком.
4317	Введите команду.
4318	зум
4319	изменить порядок загрузки модов
4320	добавить мод в список
4321	список пуст
4322	Загрузка
4323	пакеты
4324	меню пакетов
4325	добавить пакет
4326	отключить пакет
4327	обновить пакет
4328	Скачивание...
4329	Распаковка...
4330	Не удалось найти мод:
4331	земляной вал
4332	застава
4333	блок
4334	случайная фракция
4335	Достигнут лимит
4336	открыть папку настроек пользователя
4337	документация
4338	большой земляной вал
4339	большая застава
4340	Начать публичную игру на карте
4341	Моды
4342	Наборы звуков
4343	скорость
4344	море
4345	озеро
4346	река
4347	гора
4348	мост
4349	брод
4350	болото
4351	океан
4352	горный перевал
4353	Включить автоматический ремонт
4354	Отключить автоматический ремонт
4355	включить автоматическую выработку ресурсов
4356	отключить Автоматическую выработку ресурсов
4357	верфь
4358	Лодка
4359	Миноносец
4360	линкор
4361	подводная лодка
4362	луга
4363	лес
4364	густой лес
4365	переключить контратаку
4366	контратака включена
4367	контратака отключена
4368	караул
4369	преследование
4370	захватить
4372	золотой дом
4373	производится
4375	остановить производство
4376	настройки звука
4377	настройки баланса звука
4378	включить баланс звука
4379	отключить баланс звука
4380	переключить баланс звука
4381	метод баланса звука
4382	изменить метод баланса звука
4383	баланс звука включен
4384	баланс звука отключен
4385	квадратный корень
4386	линейный
4387	логарифмический
4388	нет
4389	атрибуты
4390	нажмите соответствующую букву для информации
4391	нажмите Escape для выхода
4392	выйти из экрана атрибутов
4393	выбрано несколько юнитов: 
4394	нет доступных атрибутов
4395	: 
4396	урон в ближнем бою
4397	урон в дальнем бою
4398	защита в ближнем бою
4399	защита в дальнем бою
4400	перезарядка ближнего боя
4401	перезарядка дальнего боя
4402	дальность ближнего боя
4403	дальность дальнего боя
4404	против 
4405	бонус урона в ближнем бою
4406	бонус урона в дальнем бою
4407	здоровье
4408	состояние
4409	изученные технологии
4410	время подготовки ближнего боя
4411	время подготовки дальнего боя
4412	минимальная дальность ближнего боя
4413	минимальная дальность дальнего боя
4414	точность ближнего боя
4415	точность дальнего боя
4416	уклонение от ближнего боя
4417	уклонение от дальнего боя
4418	урон по площади ближнего боя
4419	урон по площади дальнего боя
4420	радиус поражения ближнего боя
4421	радиус поражения дальнего боя
4422	минимальное затухание урона по площади ближнего боя
4423	минимальное затухание урона по площади дальнего боя
4424	бонус защиты в ближнем бою
4425	бонус защиты в дальнем бою
4426	бонус дальности ближнего боя
4427	бонус дальности дальнего боя
4428	бонус мин. дальности ближнего боя
4429	бонус мин. дальности дальнего боя
4430	бонус замаха ближнего боя
4431	бонус замаха дальнего боя
4432	бонус перезарядки ближнего боя
4433	бонус перезарядки дальнего боя
4434	бонус попадания в ближнем бою
4435	бонус попадания в дальнем бою
4436	бонус уклонения в ближнем бою
4437	бонус уклонения в дальнем бою
4438	бонус попадания ближнего боя по местности
4439	бонус попадания дальнего боя по местности
4440	бонус уклонения ближнего боя по местности
4441	бонус уклонения дальнего боя по местности
4442	бонус скорости
4443	бонус скорости на разных местностях
4444	мана
4445	скидка
4446	авторазведка
4452	модификатор ближнего боя по местности
4453	модификатор дальнего боя по местности
4454	модификатор перезарядки ближнего боя по местности
4455	модификатор перезарядки дальнего боя по местности
4456	модификатор урона атаки с разгона (ближний) по местности
4457	модификатор урона атаки с разгона (дальний) по местности
4458	модификатор перезарядки атаки с разгона (ближний) по местности
4459	модификатор перезарядки атаки с разгона (дальний) по местности
4500	свои
4501	враги
4502	все
4503	здания
4504	юниты
4505	элементы
4506	все типы
4507	подкрепления
4508	переключить на
4509	слишком рано
4510	подобрать
4600	уровень
4601	опыт
4602	/
4603	максимальный уровень
4604	время возрождения
4605	повышение уровня
4606	воскрешён
4610	множитель крита ближнего боя
4611	множитель крита дальнего боя
4612	шанс крита ближнего боя
4613	шанс крита дальнего боя
4614	бонус множителя крита ближнего боя
4615	бонус множителя крита дальнего боя
4616	бонус шанса крита ближнего боя
4617	бонус шанса крита дальнего боя
4618	сопротивление криту ближнего боя
4619	сопротивление криту дальнего боя
4620	бонус сопротивления криту ближнего боя
4621	бонус сопротивления криту дальнего боя
4622	пробитие брони ближнего боя
4623	пробитие брони дальнего боя
4624	шанс пробития брони ближнего боя
4625	шанс пробития брони дальнего боя
4626	бонус пробития ближнего боя
4627	бонус пробития дальнего боя
4628	бонус шанса пробития ближнего боя
4629	бонус шанса пробития дальнего боя
4630	сопротивление пробитию ближнего боя
4631	сопротивление пробитию дальнего боя
4632	бонус сопротивления пробитию ближнего боя
4633	бонус сопротивления пробитию дальнего боя
4634	музыка
4635	музыка включена
4636	музыка выключена
4637	громкость в процентах
4650	начать автоматическое производство
4651	начать ручное производство
4655	начать автоматическое возделывание
4656	начать ручное возделывание
4657	возделывание
4658	возделывается
4659	остановить возделывание
4660	дом
4661	сад
4700	Наблюдать за игрой
4701	Игра идёт
4702	Нет игр для наблюдения
4703	Выберите игру для наблюдения
4704	Наблюдение за игрой
4705	Прекратить наблюдение
4706	Вы наблюдаете
4707	Наблюдатель присоединился
4708	Наблюдатель вышел
4709	Игра продолжается
4710	медленный
4711	врагов в поле зрения нет
4712	атакует
4713	центр
4714	масштаб зума должен быть от 2 до 20
4715	введите масштаб зума, например 3x3 или 4x4
4716	может обучать
#	константы сообщений атрибутов
4717	урон ближнего рывка
4718	бонус урона атаки с разгона (ближний)
4719	урон дальнего рывка
4720	бонус урона атаки с разгона (дальний)
4721	перезарядка ближнего рывка
4722	перезарядка дальнего рывка
4723	дальность ближнего рывка
4724	дальность дальнего рывка
4725	урон по площади ближнего рывка
4726	бонус сплэша атаки с разгона (ближний)
4727	урон по площади дальнего рывка
4728	бонус сплэша атаки с разгона (дальний)
4729	минимальное затухание ближнего рывка
4730	бонус затухания сплэша атаки с разгона (ближний)
4731	минимальное затухание дальнего рывка
4732	бонус затухания сплэша атаки с разгона (дальний)
4733	радиус ближнего рывка
4734	бонус радиуса атаки с разгона (ближний)
4735	радиус дальнего рывка
4736	бонус радиуса атаки с разгона (дальний)
4737	урон контр-рывка ближнего боя
4738	урон контр-рывка дальнего боя
4739	бонус контратаки с разгона (ближний)
4740	бонус контратаки с разгона (дальний)
4741	перезарядка контр-рывка ближнего боя
4742	перезарядка контр-рывка дальнего боя
4743	дальность контр-рывка ближнего боя
4744	дальность контр-рывка дальнего боя
4750	доступные технологии
4751	доступные навыки
4752	изучаемые технологии
4753	можно улучшить до
4754	стоимость маны
4755	эффект
4756	дальность эффекта
4757	радиус эффекта
4758	применить бонус
4759	бонус
4760	уровень урона
4761	тип цели урона эффекта
4762	метеоры
4763	бесконечно
4764	применить
4765	, длительность
4768	стоимость
4769	время
4770	население
4771	требования
4772	призвать
4773	лечение
4774	урон
4775	воскресить максимум
4776	юниты
4777	поднять мертвых
4778	, тип:
4779	обратить вражеских юнитов
4780	перезарядка
4781	очки здоровья
4782	максимум здоровья
4783	урон ближнего боя
4784	урон дальнего боя
4785	защита ближнего боя
4786	защита дальнего боя
4787	скорость передвижения
4788	дальность обзора
4789	дальность ближнего боя
4790	дальность дальнего боя
4791	перезарядка ближнего боя
4792	перезарядка дальнего боя
4793	мана
4794	максимум маны
4795	время сбора
4796	количество сбора
4797	время производства
4798	количество производства
4799	стоимость
4800	стоимость времени
4801	стоимость населения
4802	 — атрибуты: 
4803	нет такого атрибута
4804	нет бонуса
4805	минут
4806	предоставляемое население
4807	уровень лечения
4808	секунд
4809	может строить
4810	тип юнита
4811	класс
4812	здание
4813	рабочий
4814	солдат
4815	эффект
4816	технология
4817	ремонтируемые и пришвартованные корабли
4818	да
4819	нет
4820	самоподрыв в ближнем бою
4821	самоподрыв в дальнем бою
4822	процент HP при самоподрыве
4823	коэффициент урона взрыва
4824	дальность обзора
4825	типы целей ближнего боя
4826	типы целей дальнего боя
4827	может собирать
4828	время сбора
4829	количество сбора
4830	может ремонтировать
4831	наземная цель
4832	воздушная цель
4833	цель-здание
4834	цель-юнит
4835	все
4836	тип ресурса
4837	время добычи
4838	объём добычи
4839	регенерация ресурсов
4840	макс. ёмкость ресурсов
4841	начальная ёмкость ресурсов
4842	тип месторождения
4843	название ресурса
4844	подтип
4845	ремонтируемый
4846	исцеляемый
4847	вместимость транспорта
4848	транспортный объём
4849	атакуемые пассажиры внутри
4850	бонус погрузки
4927	бонус пассажира
4928	шанс попадания по юнитам внутри снаружи
4851	труп
4852	земля
4853	воздух
4854	вода
4855	производит
4856	не производит
4857	нежить
4858	ресурс
4859	текущее оружие
4860	доступное оружие
4861	переключаемое
4862	сменить оружие
4863	меч
4864	лук
4865	название оружия
4866	броня
4867	текущая броня
4868	название брони
4871	броня
4872	ближний бой
4873	оружие
4875	инвентарь
4876	название предмета
4877	объём столкновения
4878	расходуется при подборе
4879	добыча
4880	награды ресурсами
4881	навыки
4882	баффы
4883	предмет
4885	герой
4886	короткий меч
4887	тип производства
4888	введение
4889	Базовый рабочий юнит: собирает ресурсы, строит здания и чинит корабли. Основа любой цивилизации.
4890	Базовая пехота ближнего боя с мечом и бронёй. Дёшева в обучении и составляет основу армии.
4891	радиус лечения
4892	радиус урона
4893	дальность лечения
4894	дальность урона
4895	перезарядка лечения
4896	перезарядка урона
4897	подготовка лечения
4898	подготовка урона
4899	перезарядка восстановления HP
4900	подготовка восстановления HP
4901	перезарядка восстановления маны
4902	подготовка восстановления маны
4903	типы целей для лечения
4904	за уровень
4905	рост
4906	восстановление HP
4907	текущее количество
4908	максимальное количество
4909	категория
4910	ёмкость инвентаря
4911	восстановление маны
4912	минимальный урон ближнего боя
4913	минимальный урон дальнего боя
4914	радиус баффа
4915	минимальный урон
4916	задержка снаряда ближнего боя
4917	задержка снаряда дальнего боя
4918	длительность статуса ближнего боя
4919	длительность статуса дальнего боя
4924	принудительный урон
4925	минимальная дальность ближнего рывка
4926	минимальная дальность дальнего рывка
4920	договор
4921	Договор действует, атаки запрещены
4922	Договор окончен, можно сражаться
4923	нет договора
4930	олень
4931	овца
4932	туша
4933	кабан
4934	гнать
4935	следует
4936	техники охоты
4950	Кооперативная кампания
4951	Локальная кооперативная кампания
4952	Выберите кооперативную кампанию
4953	Выберите кооперативную главу
4954	Союзники для кооператива установлены
4955	Сотрудничайте с напарником, чтобы пройти кампанию
4960	дипломатия
4961	нет кандидата
4962	в союзе с
4963	союз расторгнут с
4964	взаимный
4965	односторонний
4966	предложить союз с
4967	отозвать запрос союза с
4968	запрос союза от
4969	союз принят с
4970	союз отклонён с
4971	союзы в этой игре заблокированы
4972	Запрос союза отправлен
4973	Запрос союза отклонён
4974	Запрос союза отозван
4975	Союз заключён
4976	вода непроходима
4977	суша непроходима
4978	незавершено, непроходимо
4980	Текущая эпоха
4981	Тёмная эпоха
4982	Феодальная эпоха
4983	Эпоха замков
4984	Имперская эпоха
4985	может перейти в
4986	продолжить незавершённую игру
4987	продолжить с того места, где остановились
4988	выберите слот сохранения
4989	сохранения не найдены
4990	сохранение
4991	пустой слот
4992	сохранено
4993	прогресс сохранён, можно продолжить позже
4994	введите новое имя. Enter — подтвердить, Escape — отмена
4995	удалить этот элемент? Enter — подтвердить, Escape — отмена
4996	удалено
4997	переименовано
4998	недопустимое имя
4999	отменено
5027	нейтральный
5028	replay
5029	не нейтральный
5030	дополнительная цель
5031	дополнительная цель отменена
5032	основная цель
5033	случайная карта
5034	шаблон
5035	стандартный
5036	быстрый
5037	борьба за центр
5038	макро
5039	экономический
5040	размер карты
5041	малая
5042	средняя
5043	большая
5044	число игроков
5045	игроков
5046	сила монстров
5047	слабая
5048	средняя
5049	сильная
5050	распределение ресурсов
5051	равномерное
5052	скученное
5053	местность
5054	случайная
5055	равнина
5056	болото
5057	горы
5058	зерно
5059	линии
5060	борьба за линии
5061	случайное зерно
5062	заданное зерно
5063	введите номер зерна
5064	карта создана
5065	режим команд
5066	каждый сам за себя
5067	две команды
5338	недостаточно места
5750	один против многих
5068	вода
5069	без воды
5070	озеро
5071	река
5072	сокровище
5073	без сокровищ
5074	мало сокровищ
5075	много сокровищ
5076	код для обмена
5077	импорт кода
5078	введите код
5079	неверный код
5080	предпросмотр карты
5081	сундук с сокровищами
5082	арбалетчик с многозарядным арбалетом
5083	животное
5084	предоставляет строительное поле
5085	требует строительное поле
5086	радиус строительного поля
5087	режим строительства
5088	совместное строительство
5089	поставить и уйти
5090	строительство жертвой
5091	строится само
5092	жертвует рабочего
5093	можно строить на любой суше
5094	пристройка
5095	типы главных зданий
5096	может иметь пристройку
5097	лимит пристроек
5100	строительное поле сохраняется
5101	строительное поле распространяется
5102	нужна метка на клетке
5103	теряет питание без поля
5104	клеток распространения в секунду
5105	требует месторождение
5106	разместить эффект поля боя
5107	леса
5108	пролёт моста
5109	настил моста
5110	запасы
5111	цели фазового бонуса
5112	юниты улучшаются автоматически
5115	мясо
5116	ягоды
5117	предмет производства
5118	автоматическое производство
5119	ручное производство
5120	автоматическое возделывание
5121	ручное возделывание
5122	монетный двор
5123	золотая монета
5113	кроме
5114	любая цель кроме
5190	брифинг миссии
5191	основные цели
5192	дополнительные цели
5193	сложность
5194	стандартная
5195	средняя
5196	сложная
5197	заблокировано
5198	завершено
5199	синопсис кампании
5200	начать миссию
5201	нужно игроков
5202	Онлайн-кооперативная кампания
5203	следующая миссия разблокирована
5204	повторить эту миссию
5205	лёгкая
5206	экстремальная
5207	стандартная сложность
5208	сила врага
5209	интерфейс выбора юнитов
5210	интерфейс выбора зданий
5211	интерфейс команд
5212	интерфейс умений
5213	интерфейс справки и запросов
5214	интерфейс дипломатии
5215	рюкзак пуст
5216	схема горячих клавиш
5217	послойные горячие клавиши
5218	классические горячие клавиши
5219	схема горячих клавиш изменена, вступит в силу в следующей игре
5220	компьютер новичок
5221	компьютер средний
5222	компьютер продвинутый
5223	компьютер эксперт
5224	компьютер кошмар
5225	итог
5226	добыча
5227	использование ресурсов
5228	выживание юнитов
5229	защита зданий
5230	бой
5231	снос
5232	общий счёт
5233	оценка
5234	оценка S, идеально
5235	оценка A, отлично
5236	оценка B, хорошо
5237	оценка C, зачёт
5238	оценка D, удовлетворительно
5239	оценка E, нужно улучшить
5240	из
5241	плюс
5242	очков
5243	побеждён
5244	достижение разблокировано
5245	получено
5246	медалей
5247	получена карта
5248	осталось зарядов
5249	звание повышено до
5250	получен почётный титул
5251	бережливая эффективность
5260	кооперативный игрок
5261	свободный слот
5262	ИИ-партнёр по кооперативу
5263	назначить ИИ-партнёра
5264	сделать слот свободным
5265	тип кооперативной комнаты
5266	частная кооперативная комната
5267	публичная кооперативная комната
5280	изменить раскладку клавиш
5281	глобальные горячие клавиши
5282	текущая горячая клавиша
5283	нажмите новую клавишу
5284	Esc — отмена, Backspace — сбросить привязку
5285	горячая клавиша сохранена, действует со следующей игры
5286	раскладка классических горячих клавиш появится в поздней версии
5287	сбросить глобальные горячие клавиши
5288	глобальные горячие клавиши сброшены
5289	клавиша уже занята: 
5290	Enter — подтвердить замену, Esc — отмена
5291	не назначено
5292	установлено на
5293	Enter — переназначить
5294	активно
5295	неактивно
5296	горячие клавиши слоя сброшены
5297	сбросить горячие клавиши слоя
5298	интерфейс просмотра карты
5299	сбросить классические горячие клавиши
5300	идеальный бой
5301	отличное командование
5302	хороший бой
5303	зачёт
5304	бережливая победа
5305	идеальная сохранность
5306	охотник на кошмары
5307	убийца экспертов
5308	первая победа
5309	контракт подкреплений
5310	достижения
5311	просмотр достижений и арсенала этого мода
5312	заблокировано
5313	разблокировано
5314	для этого мода достижения не заданы
5315	список достижений
5316	арсенал
5317	просмотр звания, почестей, медалей и карт мода
5318	всего медалей
5319	заряды
5350	текущее звание
5351	до следующего звания
5355	ещё нужно
5356	медали
5357	выберите карту снаряжения для слота
5358	пропустить этот слот
5359	начать игру сейчас
5360	нет карт для взятия
5361	карта снаряжения применена
5362	слот
5363	слотов снаряжения стало больше, теперь
5364	взять перед стычкой или случайной картой против компьютера
5450	действует сразу при старте игры
5365	дополнительно в начале
5366	появляется в начале игры рядом со стартом
5367	повторное выполнение
5368	просмотр списка достижений
5369	просмотр арсенала
5370	требует
5371	ниже
5372	не менее
5373	победа в этой игре
5374	или
5375	просмотр достижений и условий разблокировки мода
5376	на карте
5377	раз
5378	накопительно
5379	ветвей
5380	межфракционный прогресс
5381	каждая разблокирует не менее
5382	медалей не менее
5383	у каждой есть почётный титул
5384	веха карты завершена
5385	достижений
5386	выберите фракцию для этой игры
5387	действует после
5388	эффект карты снаряжения сработал
5389	появляется рядом со стартом
5390	даёт дополнительно
5393	даёт технологию
5394	дополнительно после первой завершённой тренировки
5395	в этой игре дополнительно после первой завершённой тренировки
5392	.
5352	почётные титулы
5353	слоты карт перед миссией
5354	требуется звание
5320	карта золотого снабжения
5321	карта деревянного снабжения
5322	карта пехотного подкрепления
5323	карта кавалерийского подкрепления
5324	карта лучного подкрепления
5325	карта магического подкрепления
5326	карта драконьего подкрепления
5327	карта осадного подкрепления
5328	карта воздушного подкрепления
5329	карта пехота-кавалерия
5330	карта пехота-лучники
5331	карта лучники-кавалерия
5332	карта смешанной армии
5333	карта отложенного пехотного подкрепления
5334	карта отложенного оружия ближнего боя
5396	карта бонуса обучения пехоты
5340	пока нет карт или медалей
5399	классические горячие клавиши сброшены
5397	раскладка горячих клавиш мода 
5400	рядовой
5401	ефрейтор
5402	капрал
5403	сержант
5404	лейтенант
5405	капитан
5406	майор
5407	полковник
5408	генерал-майор
5409	генерал-лейтенант
5410	генерал
5411	маршал
5420	мастер бережливости
5421	идеальный страж
5422	убийца кошмаров
5423	убийца экспертов
5424	первая кровь
5425	режим победы
5426	завоевание, уничтожить всех вражеских игроков
5427	экономика, достичь цели по ресурсам
5428	исследование, посетить каждую древнюю руину
5429	выживание, продержаться до конца времени
5430	посетить каждую древнюю руину своими юнитами
5431	древняя руина
5432	захватываемые казармы
5433	руина обнаружена
5434	казармы захвачены
5435	накопленные ресурсы достигают
5436	продержаться
5437	минут
5451	уничтожить всех вражеских игроков
5452	сохранив свою ратушу
5438	доставить золотую монету торговцу города-государства
5439	торговец награждает вас припасами
5440	доставить зелье лечения деревенскому целителю
5441	целитель присоединяется к вам
5442	сначала нужно разблокировать достижение
5443	на случайной карте
5445	случайный завоеватель
5446	случайный магнат
5447	охотник за руинами
5448	выживший
5449	мастер четырёх режимов
5453	погрузка недопустима
5454	погрузка не удалась
5455	выгрузка недопустима
5456	выгрузка не удалась
5457	карта пехотного подкрепления · малая
5458	карта пехотного подкрепления · средняя
5459	карта пехотного подкрепления · большая
5460	карта кавалерийского подкрепления · малая
5461	карта кавалерийского подкрепления · средняя
5462	карта кавалерийского подкрепления · большая
5463	карта лучного подкрепления · малая
5464	карта лучного подкрепления · средняя
5465	карта лучного подкрепления · большая
5466	карта магического подкрепления · малая
5467	карта магического подкрепления · средняя
5468	карта магического подкрепления · большая
5469	карта драконьего подкрепления · малая
5470	карта драконьего подкрепления · средняя
5471	карта драконьего подкрепления · большая
5472	карта осадного подкрепления · малая
5473	карта осадного подкрепления · средняя
5474	карта осадного подкрепления · большая
5475	карта воздушного подкрепления · малая
5476	карта воздушного подкрепления · средняя
5477	карта воздушного подкрепления · большая
5478	карта золотого снабжения · малая
5479	карта золотого снабжения · средняя
5480	карта золотого снабжения · большая
5481	карта деревянного снабжения · малая
5482	карта деревянного снабжения · средняя
5483	карта деревянного снабжения · большая
5484	оценка F, плохо
5485	карта героя Рейнора
5486	брифинг миссии
5487	древние руины разбросаны по карте
5488	некоторые руины могут скрывать секреты на соседних клетках
5489	соперники не ждут — найдите все руины первыми
5490	металлическое эхо за камнем — проверьте соседнюю клетку
5491	скрытая камера даёт дополнительную добычу
